Currency,Price,Market cap,Date,Hour
Bitcoin,"$63,907.31","$1,262,228,290,808",08/23/2024,22:17
Jupiter,$0.8778,"$1,185,048,217",08/23/2024,22:17
Tars Protocol,$0.1375,"$17,056,223",08/23/2024,22:17
Solana,$153.51,"$71,526,407,018",08/23/2024,22:17
Ethereum,"$2,756.36","$331,729,185,163",08/23/2024,22:17
XRP,$0.6076,"$34,133,866,193",08/23/2024,22:17
Kaspa,$0.1671,"$4,096,766,300",08/23/2024,22:17
Notcoin,$0.01143,"$1,171,756,516",08/23/2024,22:17
Bitcoin,"$63,979.38","$1,261,803,596,504",08/23/2024,22:20
Jupiter,$0.8778,"$1,185,048,217",08/23/2024,22:20
Tars Protocol,$0.1374,"$17,044,720",08/23/2024,22:20
Solana,$153.73,"$71,626,918,453",08/23/2024,22:20
Ethereum,"$2,758.34","$331,518,293,888",08/23/2024,22:20
XRP,$0.6076,"$34,133,866,193",08/23/2024,22:20
Kaspa,$0.1674,"$4,105,413,924",08/23/2024,22:20
Notcoin,$0.01143,"$1,171,756,516",08/23/2024,22:20
Bitcoin,"$63,994.06","$1,261,803,596,504",08/23/2024,22:22
Jupiter,$0.8778,"$1,185,048,217",08/23/2024,22:22
Tars Protocol,$0.1374,"$17,044,720",08/23/2024,22:22
Solana,$153.98,"$71,742,880,648",08/23/2024,22:22
Ethereum,"$2,758.93","$331,895,587,054",08/23/2024,22:22
XRP,$0.6076,"$34,133,866,193",08/23/2024,22:22
Kaspa,$0.1674,"$4,104,966,063",08/23/2024,22:22
Notcoin,$0.01149,"$1,177,650,996",08/23/2024,22:22
Bitcoin,"$63,988.00","$1,263,516,546,457",08/23/2024,22:25
Jupiter,$0.8814,"$1,189,935,320",08/23/2024,22:25
Tars Protocol,$0.1374,"$17,044,720",08/23/2024,22:25
Solana,$153.98,"$71,742,880,648",08/23/2024,22:25
Ethereum,"$2,761.04","$331,895,587,054",08/23/2024,22:25
XRP,$0.6083,"$34,172,516,644",08/23/2024,22:25
Kaspa,$0.1674,"$4,104,966,063",08/23/2024,22:25
Notcoin,$0.01149,"$1,177,650,996",08/23/2024,22:25
Bitcoin,"$63,954.28","$1,263,396,908,113",08/23/2024,22:27
Jupiter,$0.8831,"$1,192,127,875",08/23/2024,22:27
Tars Protocol,$0.1375,"$17,055,312",08/23/2024,22:27
Solana,$154.52,"$71,996,181,563",08/23/2024,22:27
Ethereum,"$2,761.04","$331,895,587,054",08/23/2024,22:27
XRP,$0.6083,"$34,172,516,644",08/23/2024,22:27
Kaspa,$0.1674,"$4,105,902,621",08/23/2024,22:27
Notcoin,$0.01149,"$1,177,650,996",08/23/2024,22:27
Bitcoin,"$63,902.87","$1,262,013,926,477",08/23/2024,22:30
Jupiter,$0.8831,"$1,192,127,875",08/23/2024,22:30
Tars Protocol,$0.1375,"$17,049,331",08/23/2024,22:30
Solana,$154.52,"$71,996,181,563",08/23/2024,22:30
Ethereum,"$2,755.80","$331,833,324,618",08/23/2024,22:30
XRP,$0.6083,"$34,172,516,644",08/23/2024,22:30
Kaspa,$0.167,"$4,095,854,652",08/23/2024,22:30
Notcoin,$0.01152,"$1,180,654,216",08/23/2024,22:30
Bitcoin,"$63,902.87","$1,262,013,926,477",08/23/2024,22:32
Jupiter,$0.8831,"$1,192,127,875",08/23/2024,22:32
Tars Protocol,$0.1374,"$17,037,420",08/23/2024,22:32
Solana,$154.52,"$71,996,181,563",08/23/2024,22:33
Ethereum,"$2,755.80","$331,833,324,618",08/23/2024,22:33
XRP,$0.6077,"$34,138,090,638",08/23/2024,22:33
Kaspa,$0.167,"$4,095,854,652",08/23/2024,22:33
Notcoin,$0.01152,"$1,180,654,216",08/23/2024,22:33
Bitcoin,"$63,919.04","$1,262,013,926,477",08/23/2024,22:35
Jupiter,$0.8824,"$1,191,248,495",08/23/2024,22:35
Tars Protocol,$0.1374,"$17,037,420",08/23/2024,22:35
Solana,$154.26,"$71,872,280,931",08/23/2024,22:35
Ethereum,"$2,757.92","$331,773,355,813",08/23/2024,22:35
XRP,$0.6077,"$34,138,090,638",08/23/2024,22:35
Kaspa,$0.167,"$4,095,854,652",08/23/2024,22:35
Notcoin,$0.01148,"$1,176,599,763",08/23/2024,22:35
Bitcoin,"$63,897.89","$1,261,652,180,757",08/23/2024,22:38
Jupiter,$0.8817,"$1,190,271,204",08/23/2024,22:38
Tars Protocol,$0.1374,"$17,037,420",08/23/2024,22:38
Solana,$153.83,"$71,671,667,575",08/23/2024,22:38
Ethereum,"$2,754.82","$331,773,355,813",08/23/2024,22:38
XRP,$0.6077,"$34,138,090,638",08/23/2024,22:38
Kaspa,$0.167,"$4,095,659,979",08/23/2024,22:38
Notcoin,$0.01148,"$1,176,153,165",08/23/2024,22:38
Bitcoin,"$63,919.09","$1,261,652,180,757",08/23/2024,22:40
Jupiter,$0.8817,"$1,190,271,204",08/23/2024,22:40
Tars Protocol,$0.1373,"$17,022,745",08/23/2024,22:40
Solana,$153.69,"$71,607,140,627",08/23/2024,22:40
Ethereum,"$2,755.16","$331,442,712,096",08/23/2024,22:40
XRP,$0.6077,"$34,143,146,560",08/23/2024,22:40
Kaspa,$0.167,"$4,095,659,979",08/23/2024,22:40
Notcoin,$0.01148,"$1,176,153,165",08/23/2024,22:40
Bitcoin,"$63,929.55","$1,262,036,248,216",08/23/2024,22:43
Jupiter,$0.8817,"$1,190,271,204",08/23/2024,22:43
Tars Protocol,$0.1373,"$17,031,546",08/23/2024,22:43
Solana,$153.71,"$71,616,079,049",08/23/2024,22:43
Ethereum,"$2,754.92","$331,442,712,096",08/23/2024,22:43
XRP,$0.608,"$34,155,225,663",08/23/2024,22:43
Kaspa,$0.1671,"$4,097,455,256",08/23/2024,22:43
Notcoin,$0.01146,"$1,174,766,613",08/23/2024,22:43
Bitcoin,"$63,912.86","$1,262,242,805,070",08/23/2024,22:45
Jupiter,$0.8805,"$1,188,725,373",08/23/2024,22:45
Tars Protocol,$0.1373,"$17,031,546",08/23/2024,22:45
Solana,$153.71,"$71,616,079,049",08/23/2024,22:45
Ethereum,"$2,754.05","$331,526,792,693",08/23/2024,22:45
XRP,$0.608,"$34,157,924,011",08/23/2024,22:45
Kaspa,$0.1672,"$4,099,075,699",08/23/2024,22:45
Notcoin,$0.01146,"$1,174,766,613",08/23/2024,22:45
Bitcoin,"$63,913.53","$1,262,242,805,070",08/23/2024,22:48
Jupiter,$0.8805,"$1,188,725,373",08/23/2024,22:48
Tars Protocol,$0.1373,"$17,031,546",08/23/2024,22:48
Solana,$153.62,"$71,577,008,014",08/23/2024,22:48
Ethereum,"$2,754.45","$331,356,695,863",08/23/2024,22:48
XRP,$0.608,"$34,157,924,011",08/23/2024,22:48
Kaspa,$0.1672,"$4,099,075,699",08/23/2024,22:48
